light_id,x_coordinate,y_coordinate
supercalifragilisticexpealidigital:2-97,18,127
supercalifragilisticexpealidigital:2-98,19.5,127
supercalifragilisticexpealidigital:2-99,21,127
supercalifragilisticexpealidigital:2-100,22.5,127
supercalifragilisticexpealidigital:2-101,24,127
supercalifragilisticexpealidigital:2-102,25.5,127
supercalifragilisticexpealidigital:2-103,27,127
supercalifragilisticexpealidigital:2-104,28.5,127
supercalifragilisticexpealidigital:2-105,30,127
supercalifragilisticexpealidigital:2-106,31.5,127
supercalifragilisticexpealidigital:2-107,33,127
supercalifragilisticexpealidigital:2-108,34.5,127
supercalifragilisticexpealidigital:2-109,36,127
supercalifragilisticexpealidigital:2-110,37.5,127
supercalifragilisticexpealidigital:2-111,39,127
supercalifragilisticexpealidigital:2-112,40.5,127
supercalifragilisticexpealidigital:2-113,42,127
supercalifragilisticexpealidigital:2-114,43.5,127
supercalifragilisticexpealidigital:2-115,45,127
supercalifragilisticexpealidigital:2-116,46.5,127
supercalifragilisticexpealidigital:2-117,48,127
supercalifragilisticexpealidigital:2-118,49.5,127
supercalifragilisticexpealidigital:2-119,51,127
supercalifragilisticexpealidigital:2-120,52.5,127
supercalifragilisticexpealidigital:2-121,54,127
supercalifragilisticexpealidigital:2-122,55.5,127
supercalifragilisticexpealidigital:2-123,57,127
supercalifragilisticexpealidigital:2-124,58.5,127
supercalifragilisticexpealidigital:2-125,60,127
supercalifragilisticexpealidigital:2-126,61.5,127
supercalifragilisticexpealidigital:2-127,63,127
supercalifragilisticexpealidigital:2-128,64.5,127
supercalifragilisticexpealidigital:2-129,66,127
supercalifragilisticexpealidigital:2-130,67.5,127
supercalifragilisticexpealidigital:2-131,69,127
supercalifragilisticexpealidigital:2-132,70.5,127
supercalifragilisticexpealidigital:2-133,72,127
supercalifragilisticexpealidigital:2-134,73.5,127
supercalifragilisticexpealidigital:2-135,75,127
supercalifragilisticexpealidigital:2-136,76.5,127
supercalifragilisticexpealidigital:2-137,78,127
supercalifragilisticexpealidigital:2-138,79.5,127
supercalifragilisticexpealidigital:2-139,81,127
supercalifragilisticexpealidigital:2-140,82.5,127
supercalifragilisticexpealidigital:2-141,84,127
supercalifragilisticexpealidigital:2-142,85.5,127
supercalifragilisticexpealidigital:2-143,86.5,127
supercalifragilisticexpealidigital:2-144,86.5,125.5
supercalifragilisticexpealidigital:2-145,86.5,124
supercalifragilisticexpealidigital:2-146,86.5,122.5
supercalifragilisticexpealidigital:2-147,86.5,121
supercalifragilisticexpealidigital:2-148,86.5,119.5
supercalifragilisticexpealidigital:2-149,86.5,118
supercalifragilisticexpealidigital:2-150,86.5,116.5
supercalifragilisticexpealidigital:2-151,86.5,115
supercalifragilisticexpealidigital:2-152,86.5,113.5
supercalifragilisticexpealidigital:2-153,86.5,112
supercalifragilisticexpealidigital:2-154,86.5,110.5
supercalifragilisticexpealidigital:2-155,86.5,109
